User ID,Subscription Plan,Monthly Revenue ($),Join Date,Last Payment,Country,Age,Gender,Device,Plan Duration (Months),Total Movies/Shows Watched,Genre Preference,No. of Recommendations Viewed,% of Recommendations Acted Upon,Frequency of Rating
43,Standard,11.99,6/30/2021,7/10/2023,USA,28,Female,Smart TV,6,130,Drama,5,50%,Weekly
44,Basic,8.99,3/18/2022,7/11/2023,Australia,39,Male,Laptop,3,60,Action,2,20%,Never
45,Premium,15.99,8/11/2021,7/10/2023,UK,33,Female,Mobile,12,230,Comedy,9,80%,Monthly
46,Basic,8.99,1/5/2022,7/12/2023,Canada,27,Male,Laptop,3,80,Thriller,3,30%,Never
47,Standard,11.99,5/9/2022,7/11/2023,USA,46,Female,Smart TV,6,160,Comedy,6,60%,Monthly
48,Premium,15.99,10/12/2021,7/10/2023,Australia,32,Male,Mobile,12,250,Drama,10,70%,Weekly
49,Basic,8.99,1/28/2022,7/12/2023,UK,27,Female,Laptop,3,70,Comedy,3,30%,Never
50,Standard,11.99,9/15/2022,7/11/2023,Canada,30,Male,Smart TV,6,140,Drama,5,50%,Monthly
51,Premium,15.99,8/3/2020,7/12/2023,Australia,24,Female,Mobile,6,100,Action,3,30%,Weekly
52,Standard,11.99,12/18/2021,7/11/2023,USA,39,Male,Laptop,12,180,Comedy,8,60%,Monthly
53,Basic,8.99,6/10/2022,7/10/2023,UK,28,Female,Smart TV,3,50,Thriller,1,10%,Never
54,Premium,15.99,9/25/2020,7/12/2023,Canada,33,Male,Laptop,12,250,Drama,10,70%,Weekly
55,Standard,11.99,5/9/2021,7/10/2023,USA,46,Female,Mobile,6,120,Comedy,4,40%,Monthly
56,Basic,8.99,2/14/2022,7/12/2023,Australia,32,Male,Smart TV,3,80,Action,2,20%,Never
57,Premium,15.99,7/21/2021,7/11/2023,UK,27,Female,Laptop,12,220,Drama,9,80%,Monthly
58,Basic,8.99,3/5/2023,7/10/2023,Canada,42,Male,Mobile,3,70,Comedy,3,30%,Never
59,Standard,11.99,11/16/2022,7/12/2023,USA,30,Female,Laptop,6,140,Action,6,50%,
60,Premium,15.99,4/2/2021,7/11/2023,Australia,35,Male,Smart TV,12,180,Comedy,8,60%,Weekly
61,Basic,8.99,8/9/2022,7/10/2023,UK,29,Female,Laptop,3,90,Drama,4,40%,Never
62,Premium,15.99,10/16/2020,7/12/2023,Canada,41,Male,Mobile,12,200,Comedy,10,70%,Monthly
63,Standard,11.99,6/30/2021,7/10/2023,USA,28,Female,Smart TV,6,130,Drama,5,50%,Weekly
64,Basic,8.99,3/18/2022,7/11/2023,Australia,39,Male,Laptop,3,60,Action,2,20%,Never
65,Premium,15.99,8/11/2021,7/10/2023,UK,33,Female,Mobile,12,230,Comedy,9,80%,Monthly
66,Basic,8.99,1/5/2022,7/12/2023,Canada,27,Male,Laptop,3,80,Thriller,3,30%,Never
67,Standard,11.99,5/9/2022,7/11/2023,USA,46,Female,Smart TV,6,160,Comedy,6,60%,Monthly
68,Premium,15.99,10/12/2021,7/10/2023,Australia,32,Male,Mobile,12,250,Drama,10,70%,Weekly
69,Basic,8.99,1/28/2022,7/12/2023,UK,27,Female,Laptop,3,70,Comedy,3,30%,Never
70,Standard,11.99,9/15/2022,7/11/2023,Canada,30,Male,Smart TV,6,140,Drama,5,50%,Monthly
71,Premium,15.99,8/3/2020,7/12/2023,Australia,24,Female,Mobile,6,100,Action,3,30%,Weekly
72,Standard,11.99,12/18/2021,7/11/2023,USA,39,Male,Laptop,12,180,Comedy,8,60%,Monthly
73,Basic,8.99,6/10/2022,7/10/2023,UK,28,Female,Smart TV,3,50,Thriller,1,10%,Never
74,Premium,15.99,9/25/2020,7/12/2023,Canada,33,Male,Laptop,12,250,Drama,10,70%,Weekly
75,Standard,11.99,5/9/2021,7/10/2023,USA,46,Female,Mobile,6,120,Comedy,4,40%,Monthly
76,Basic,8.99,2/14/2022,7/12/2023,Australia,32,Male,Smart TV,3,80,Action,2,20%,Never
77,Premium,15.99,7/21/2021,7/11/2023,UK,27,Female,Laptop,12,220,Drama,9,80%,Monthly
78,Basic,8.99,3/5/2023,7/10/2023,Canada,42,Male,Mobile,3,70,Comedy,3,30%,Never
79,Standard,11.99,11/16/2022,7/12/2023,USA,30,Female,Laptop,6,140,Action,6,50%,Monthly
80,Premium,15.99,4/2/2021,7/11/2023,Australia,35,Male,Smart TV,12,180,Comedy,8,60%,Weekly
81,Basic,8.99,8/9/2022,7/10/2023,UK,29,Female,Laptop,3,90,Drama,4,40%,Never
82,Premium,15.99,10/16/2020,7/12/2023,Canada,41,Male,Mobile,12,200,Comedy,10,70%,Monthly
83,Standard,11.99,6/30/2021,7/10/2023,USA,28,Female,Smart TV,6,130,Drama,5,50%,Weekly
84,Basic,8.99,3/18/2022,7/11/2023,Australia,39,Male,Laptop,3,60,Action,2,20%,Never
85,Premium,15.99,8/11/2021,7/10/2023,UK,33,Female,Mobile,12,230,Comedy,9,80%,Monthly
86,Basic,8.99,1/5/2022,7/12/2023,Canada,27,Male,Laptop,3,80,Thriller,3,30%,Never
87,Standard,11.99,5/9/2022,7/11/2023,USA,46,Female,Smart TV,6,160,Comedy,6,60%,Monthly
88,Premium,15.99,10/12/2021,7/10/2023,Australia,32,Male,Mobile,12,250,Drama,10,70%,Weekly
89,Basic,8.99,1/28/2022,7/12/2023,UK,27,Female,Laptop,3,70,Comedy,3,30%,Never
90,Standard,11.99,9/15/2022,7/11/2023,Canada,30,Male,Smart TV,6,140,Drama,5,50%,Monthly
91,Premium,15.99,8/3/2020,7/12/2023,Australia,24,Female,Mobile,6,100,Action,3,30%,Weekly
92,Standard,11.99,12/18/2021,7/11/2023,USA,39,Male,Laptop,12,180,Comedy,8,60%,Monthly
93,Basic,8.99,6/10/2022,7/10/2023,UK,28,Female,Smart TV,3,50,Thriller,1,10%,Never
94,Premium,15.99,9/25/2020,7/12/2023,Canada,33,Male,Laptop,12,250,Drama,10,70%,Weekly
95,Standard,11.99,5/9/2021,7/10/2023,USA,46,Female,Mobile,6,120,Comedy,4,40%,Monthly
96,Basic,8.99,2/14/2022,7/12/2023,Australia,32,Male,Smart TV,3,80,Action,2,20%,Never
97,Premium,15.99,7/21/2021,7/11/2023,UK,27,Female,Laptop,12,220,Drama,9,80%,Monthly
98,Basic,8.99,3/5/2023,7/10/2023,Canada,42,Male,Mobile,3,70,Comedy,3,30%,Never
99,Standard,11.99,11/16/2022,7/12/2023,USA,30,Female,Laptop,6,140,Action,6,50%,Monthly
100,Premium,15.99,4/2/2021,7/11/2023,Australia,35,Male,Smart TV,12,180,Comedy,8,60%,Weekly
101,Basic,8.99,8/9/2022,7/10/2023,UK,29,Female,Laptop,3,90,Drama,4,40%,Never
102,Premium,15.99,10/16/2020,7/12/2023,Canada,41,Male,Mobile,12,,,,,
103,Basic,8.99,6/10/2022,7/10/2023,UK,28,Female,Smart TV,3,50,Thriller,1,10%,Never
104,Premium,15.99,9/25/2020,7/12/2023,Canada,33,Male,Laptop,12,250,Drama,10,70%,Weekly
105,Standard,11.99,5/9/2021,7/10/2023,USA,46,Female,Mobile,6,120,Comedy,4,40%,Monthly
106,Basic,8.99,2/14/2022,7/12/2023,Australia,32,Male,Smart TV,3,80,Action,2,20%,Never
107,Premium,15.99,7/21/2021,7/11/2023,UK,27,Female,Laptop,12,220,Drama,9,80%,Monthly
108,Basic,8.99,3/5/2023,7/10/2023,Canada,42,Male,Mobile,3,70,Comedy,3,30%,Never
109,Standard,11.99,11/16/2022,7/12/2023,USA,30,Female,Laptop,6,140,Action,6,50%,Monthly
110,Premium,15.99,4/2/2021,7/11/2023,Australia,35,Male,Smart TV,12,180,Comedy,8,60%,Weekly
111,Basic,8.99,8/9/2022,7/10/2023,UK,29,Female,Laptop,3,90,Drama,4,40%,Never
112,Premium,15.99,10/16/2020,7/12/2023,Canada,41,Male,Mobile,12,200,Comedy,50,70%,Monthly
113,Standard,11.99,6/30/2021,7/10/2023,USA,28,Female,Smart TV,6,130,Drama,5,50%,Weekly
114,Basic,8.99,3/18/2022,7/11/2023,Australia,39,Male,Laptop,3,60,Action,2,20%,Never
115,Premium,15.99,8/11/2021,7/10/2023,UK,33,Female,Mobile,12,230,Comedy,9,80%,Monthly
116,Basic,8.99,1/5/2022,7/12/2023,Canada,27,Male,Laptop,3,80,Thriller,3,30%,Never
117,Standard,11.99,5/9/2022,7/11/2023,USA,46,Female,Smart TV,6,160,Comedy,6,60%,Monthly
118,Premium,15.99,10/12/2021,7/10/2023,Australia,32,Male,Mobile,12,250,Drama,10,70%,Weekly
119,Basic,8.99,1/28/2022,7/12/2023,UK,27,Female,Laptop,3,70,Comedy,3,30%,Never
120,Standard,11.99,9/15/2022,7/11/2023,Canada,30,Male,Smart TV,6,140,Drama,5,50%,Monthly
121,Premium,15.99,8/3/2020,7/12/2023,Australia,24,Female,Mobile,6,100,Action,3,30%,Weekly
122,Standard,11.99,12/18/2021,7/11/2023,USA,39,Male,Laptop,12,180,Comedy,8,60%,Monthly
123,Basic,8.99,6/10/2022,7/10/2023,UK,28,Female,Smart TV,3,50,Thriller,1,10%,Never
124,Premium,15.99,9/25/2020,7/12/2023,Canada,33,Male,Laptop,12,250,Drama,10,70%,Weekly
125,Standard,11.99,5/9/2021,7/10/2023,USA,46,Female,Mobile,6,120,Comedy,4,40%,Monthly
126,Basic,8.99,2/14/2022,7/12/2023,Australia,32,Male,Smart TV,3,80,Action,2,20%,Never
127,Premium,15.99,7/21/2021,7/11/2023,UK,27,Female,Laptop,12,220,Drama,9,80%,Monthly
128,Basic,8.99,3/5/2023,7/10/2023,Canada,42,Male,Mobile,3,70,Comedy,3,30%,Never
129,Standard,11.99,11/16/2022,7/12/2023,USA,30,Female,Laptop,6,140,Action,6,50%,Monthly
130,Premium,15.99,4/2/2021,7/11/2023,Australia,35,Male,Smart TV,12,180,Comedy,8,60%,Weekly
131,Basic,8.99,8/9/2022,7/10/2023,UK,29,Female,Laptop,3,90,Drama,4,40%,Never
132,Premium,15.99,10/16/2020,7/12/2023,Canada,41,Male,Mobile,12,200,Comedy,10,70,
133,Basic,8.99,6/10/2022,7/10/2023,UK,28,Female,Smart TV,3,50,Drama,1,10%,Never
134,Premium,15.99,9/25/2020,7/12/2023,Canada,33,Male,Laptop,12,250,Action,10,70%,Weekly
135,Standard,11.99,5/9/2021,7/10/2023,USA,46,Female,Mobile,6,120,Comedy,4,40%,Monthly
136,Basic,8.99,2/14/2022,7/12/2023,Australia,32,Male,Smart TV,3,80,Thriller,2,20%,Never
137,Premium,15.99,7/21/2021,7/11/2023,UK,27,Female,Laptop,12,220,Mystery,9,80%,Monthly
138,Basic,8.99,3/5/2023,7/10/2023,Canada,42,Male,Mobile,3,70,Romance,3,30%,Never
139,Standard,11.99,11/16/2022,7/12/2023,USA,30,Female,Laptop,6,140,Action,6,50%,Monthly
140,Premium,15.99,4/2/2021,7/11/2023,Australia,35,Male,Smart TV,12,180,Comedy,8,60%,Weekly
141,Basic,8.99,8/9/2022,7/10/2023,UK,29,Female,Laptop,3,90,Drama,4,40%,Never
142,Premium,15.99,10/16/2020,7/12/2023,Canada,41,Male,Mobile,12,200,Fantasy,10,70%,Monthly
143,Standard,11.99,6/30/2021,7/10/2023,USA,28,Female,Smart TV,6,130,Romance,5,50%,Weekly
144,Basic,8.99,3/18/2022,7/11/2023,Australia,39,Male,Laptop,3,60,Sci-Fi,2,20%,Never
145,Premium,15.99,8/11/2021,7/10/2023,UK,33,Female,Mobile,12,230,Crime,9,80%,Monthly
146,Basic,8.99,1/5/2022,7/12/2023,Canada,27,Male,Laptop,3,80,Mystery,3,30%,Never
147,Standard,11.99,5/9/2022,7/11/2023,USA,46,Female,Smart TV,6,160,Fantasy,6,60%,Monthly
148,Premium,15.99,10/12/2021,7/10/2023,Australia,32,Male,Mobile,12,250,Crime,10,70%,Weekly
149,Basic,8.99,1/28/2022,7/12/2023,UK,27,Female,Laptop,3,70,Romance,3,30%,Never
150,Standard,11.99,9/15/2022,7/11/2023,Canada,30,Male,Smart TV,6,140,Comedy,5,50%,Monthly
151,Premium,15.99,8/3/2020,7/12/2023,Australia,24,Female,Mobile,6,100,Drama,3,30%,Weekly
152,Standard,11.99,12/18/2021,7/11/2023,USA,39,Male,Laptop,12,180,Romance,8,60%,Monthly
153,Basic,8.99,6/10/2022,7/10/2023,UK,28,Female,Smart TV,3,50,Thriller,1,10%,Never
154,Premium,15.99,9/25/2020,7/12/2023,Canada,33,Male,Laptop,12,250,Action,10,70%,Weekly
155,Standard,11.99,5/9/2021,7/10/2023,USA,46,Female,Mobile,6,120,Comedy,4,40%,Monthly
156,Basic,8.99,2/14/2022,7/12/2023,Australia,32,Male,Smart TV,3,80,Sci-Fi,2,20%,Never
157,Premium,15.99,7/21/2021,7/11/2023,UK,27,Female,Laptop,12,220,Mystery,9,80%,Monthly
158,Basic,8.99,3/5/2023,7/10/2023,Canada,42,Male,Mobile,3,70,Romance,3,30%,Never
159,Standard,11.99,11/16/2022,7/12/2023,USA,30,Female,Laptop,6,140,Action,6,50%,Monthly
160,Basic,8.99,6/10/2022,7/10/2023,UK,28,Female,Smart TV,3,50,Drama,1,10%,Never
161,Premium,15.99,9/25/2020,7/12/2023,Canada,33,Male,Laptop,12,250,Action,10,70%,Weekly
162,Standard,11.99,5/9/2021,7/10/2023,USA,46,Female,Mobile,6,120,Comedy,4,40%,Monthly
163,Basic,8.99,2/14/2022,7/12/2023,Australia,32,Male,Smart TV,3,80,Thriller,2,20%,Never
164,Premium,15.99,7/21/2021,7/11/2023,UK,27,Female,Laptop,12,220,Mystery,9,80%,Monthly
165,Basic,8.99,3/5/2023,7/10/2023,Canada,42,Male,Mobile,3,70,Romance,3,30%,Never
166,Standard,11.99,11/16/2022,7/12/2023,USA,30,Female,Laptop,6,140,Action,6,50%,Monthly
167,Premium,15.99,4/2/2021,7/11/2023,Australia,35,Male,Smart TV,12,180,Comedy,8,60%,Weekly
168,Basic,8.99,8/9/2022,7/10/2023,UK,29,Female,Laptop,3,90,Drama,4,40%,Never
169,Premium,15.99,10/16/2020,7/12/2023,Canada,41,Male,Mobile,12,200,Fantasy,10,70%,Monthly
170,Standard,11.99,6/30/2021,7/10/2023,USA,28,Female,Smart TV,6,130,Romance,5,50%,Weekly
171,Basic,8.99,3/18/2022,7/11/2023,Australia,39,Male,Laptop,3,60,Sci-Fi,2,20%,Never
172,Premium,15.99,8/11/2021,7/10/2023,UK,33,Female,Mobile,12,230,Crime,9,80%,Monthly
173,Basic,8.99,1/5/2022,7/12/2023,Canada,27,Male,Laptop,3,80,Mystery,3,30%,Never
174,Standard,11.99,5/9/2022,7/11/2023,USA,46,Female,Smart TV,6,160,Fantasy,6,60%,Monthly
175,Premium,15.99,10/12/2021,7/10/2023,Australia,32,Male,Mobile,12,250,Crime,10,70%,Weekly
176,Basic,8.99,1/28/2022,7/12/2023,UK,27,Female,Laptop,3,70,Romance,3,30%,Never
177,Standard,11.99,9/15/2022,7/11/2023,Canada,30,Male,Smart TV,6,140,Comedy,5,50%,Monthly
178,Premium,15.99,8/3/2020,7/12/2023,Australia,24,Female,Mobile,6,100,Drama,3,30%,Weekly
179,Standard,11.99,12/18/2021,7/11/2023,USA,39,Male,Laptop,12,180,Romance,8,60%,Monthly
180,Basic,8.99,6/10/2022,7/10/2023,UK,28,Female,Smart TV,3,50,Thriller,1,10%,Never
181,Premium,15.99,9/25/2020,7/12/2023,Canada,33,Male,Laptop,22,250,Action,87,70%,Weekly
182,Standard,11.99,5/9/2021,7/10/2023,USA,46,Female,Mobile,6,120,Comedy,4,40%,Monthly
183,Basic,8.99,6/10/2022,7/10/2023,UK,28,Female,Smart TV,3,50,Drama,1,10%,Never
184,Premium,15.99,9/25/2020,7/12/2023,Canada,33,Male,Laptop,12,250,Action,10,70%,Weekly
185,Standard,11.99,5/9/2021,7/10/2023,USA,46,Female,Mobile,6,120,Comedy,4,40%,Monthly
186,Basic,8.99,2/14/2022,7/12/2023,Australia,32,Male,Smart TV,3,80,Thriller,2,20%,Never
187,Premium,15.99,7/21/2021,7/11/2023,UK,27,Female,Laptop,12,220,Mystery,9,80%,Monthly
188,Basic,8.99,3/5/2023,7/10/2023,Canada,42,Male,Mobile,3,70,Romance,3,30%,Never
189,Standard,11.99,11/16/2022,7/12/2023,USA,30,Female,Laptop,6,140,Action,6,50%,Monthly
190,Premium,15.99,4/2/2021,7/11/2023,Australia,35,Male,Smart TV,12,180,Comedy,8,60%,Weekly
191,Basic,8.99,8/9/2022,7/10/2023,UK,29,Female,Laptop,3,90,Drama,4,40%,Never
192,Premium,15.99,10/16/2020,7/12/2023,Canada,41,Male,Mobile,12,200,Fantasy,10,70%,Monthly
193,Standard,11.99,6/30/2021,7/10/2023,USA,28,Female,Smart TV,6,130,Romance,5,50%,Weekly
194,Basic,8.99,3/18/2022,7/11/2023,Australia,39,Male,Laptop,3,60,Sci-Fi,2,20%,Never
195,Premium,15.99,8/11/2021,7/10/2023,UK,33,Female,Mobile,12,230,Crime,9,80%,Monthly
196,Basic,8.99,1/5/2022,7/12/2023,Canada,27,Male,Laptop,3,80,Mystery,3,30%,Never
197,Standard,11.99,5/9/2022,7/11/2023,USA,46,Female,Smart TV,6,160,Fantasy,6,60%,Monthly
198,Premium,15.99,10/12/2021,7/10/2023,Australia,32,Male,Mobile,12,250,Crime,10,70%,Weekly
199,Basic,8.99,1/28/2022,7/12/2023,UK,27,Female,Laptop,3,70,Romance,3,30%,Never
200,Standard,11.99,9/15/2022,7/11/2023,Canada,30,Male,Smart TV,6,140,Comedy,5,50%,Monthly
201,Premium,15.99,8/3/2020,7/12/2023,Australia,24,Female,Mobile,6,100,Drama,3,30%,Weekly
202,Standard,11.99,12/18/2021,7/11/2023,USA,39,Male,Laptop,12,180,Romance,8,60%,Monthly
203,Basic,8.99,6/10/2022,7/10/2023,UK,28,Female,Smart TV,3,50,Thriller,1,10%,Never
204,Premium,15.99,9/25/2020,7/12/2023,Canada,33,Male,Laptop,12,250,Action,10,70%,Weekly
205,Standard,11.99,5/9/2021,7/10/2023,USA,46,Female,Mobile,6,120,Comedy,4,40%,Monthly
206,Basic,8.99,2/14/2022,7/12/2023,Australia,32,Male,Smart TV,3,80,Sci-Fi,2,20%,Never
207,Premium,15.99,7/21/2021,7/11/2023,UK,27,Female,Laptop,12,220,Mystery,9,80%,Monthly
208,Basic,8.99,3/5/2023,7/10/2023,Canada,42,Male,Mobile,3,70,Romance,3,30%,Never
209,Standard,11.99,11/16/2022,7/12/2023,USA,30,Female,Laptop,6,140,Action,6,50%,Monthly
210,Premium,15.99,4/2/2021,7/11/2023,Australia,35,Male,Smart TV,12,180,Comedy,8,60%,Weekly
211,Basic,8.99,8/9/2022,7/10/2023,UK,29,Female,Laptop,3,90,Drama,4,40%,Never
212,Premium,15.99,10/16/2020,7/12/2023,Canada,41,Male,Mobile,12,200,Fantasy,10,70%,Monthly
213,Standard,11.99,6/30/2021,7/10/2023,USA,28,Female,Smart TV,6,130,Romance,5,50%,Weekly
214,Basic,8.99,6/10/2022,7/10/2023,UK,28,Female,Smart TV,3,50,Drama,1,10%,Never
215,Premium,15.99,9/25/2020,7/12/2023,Canada,33,Male,Laptop,12,250,Action,10,70%,Weekly
216,Standard,11.99,5/9/2021,7/10/2023,USA,46,Female,Mobile,6,120,Comedy,4,40%,Monthly
217,Basic,8.99,2/14/2022,7/12/2023,Australia,32,Male,Smart TV,3,80,Thriller,2,20%,Never
218,Premium,15.99,7/21/2021,7/11/2023,UK,27,Female,Laptop,12,220,Mystery,9,80%,Monthly
219,Basic,8.99,3/5/2023,7/10/2023,Canada,42,Male,Mobile,3,70,Romance,3,30%,Never
220,Standard,11.99,11/16/2022,7/12/2023,USA,30,Female,Laptop,6,140,Action,6,50%,Monthly
221,Premium,15.99,4/2/2021,7/11/2023,Australia,35,Male,Smart TV,12,180,Comedy,8,60%,Weekly
222,Basic,8.99,8/9/2022,7/10/2023,UK,29,Female,Laptop,3,90,Drama,4,40%,Never
223,Premium,15.99,10/16/2020,7/12/2023,Canada,41,Male,Mobile,12,200,Fantasy,10,70%,Monthly
224,Standard,11.99,6/30/2021,7/10/2023,USA,28,Female,Smart TV,6,130,Romance,5,50%,Weekly
225,Basic,8.99,3/18/2022,7/11/2023,Australia,39,Male,Laptop,3,60,Sci-Fi,2,20%,Never
226,Premium,15.99,8/11/2021,7/10/2023,UK,33,Female,Mobile,12,230,Crime,9,80%,Monthly
227,Basic,8.99,1/5/2022,7/12/2023,Canada,27,Male,Laptop,3,80,Mystery,3,30%,Never
228,Standard,60,5/9/2022,7/11/2023,USA,46,Female,Smart TV,6,160,Fantasy,0,60%,Monthly
229,Premium,15.99,10/12/2021,7/10/2023,Australia,32,Male,Mobile,12,250,Crime,10,70%,Weekly
230,Basic,8.99,1/28/2022,7/12/2023,UK,27,Female,Laptop,3,70,Romance,3,30%,Never
231,Standard,11.99,9/15/2022,7/11/2023,Canada,30,Male,Smart TV,6,140,Comedy,5,50%,Monthly
232,Premium,15.99,8/3/2020,7/12/2023,Australia,24,Female,Mobile,6,100,Drama,3,30%,Weekly
233,Standard,11.99,12/18/2021,7/11/2023,USA,39,Male,Laptop,12,180,Romance,8,60%,Monthly
234,Basic,8.99,6/10/2022,7/10/2023,UK,28,Female,Smart TV,3,50,Thriller,1,10%,Never
235,Premium,15.99,9/25/2020,7/12/2023,Canada,33,Male,Laptop,12,250,Action,10,70%,Weekly
236,Standard,11.99,5/9/2021,7/10/2023,USA,46,Female,Mobile,6,120,Comedy,4,40%,Monthly
237,Basic,8.99,2/14/2022,7/12/2023,Australia,32,Male,Smart TV,3,80,Sci-Fi,2,20%,Never
238,Premium,15.99,7/21/2021,7/11/2023,UK,27,Female,Laptop,12,220,Mystery,9,80%,
239,Basic,8.99,6/10/2022,7/10/2023,UK,28,Female,Smart TV,3,50,Drama,1,10%,Never
240,Premium,15.99,9/25/2020,7/12/2023,Canada,33,Male,Laptop,12,250,Action,10,70%,Weekly
241,Standard,11.99,5/9/2021,7/10/2023,USA,46,Female,Mobile,6,120,Comedy,4,40%,Monthly
242,Basic,8.99,2/14/2022,7/12/2023,Australia,32,Male,Smart TV,3,80,Thriller,2,20%,Never
243,Premium,15.99,7/21/2021,7/11/2023,UK,27,Female,Laptop,12,220,Mystery,9,80%,Monthly
244,Basic,8.99,3/5/2023,7/10/2023,Canada,42,Male,Mobile,3,70,Romance,3,30%,Never
245,Standard,11.99,11/16/2022,7/12/2023,USA,30,Female,Laptop,6,140,Action,6,50%,Monthly
246,Premium,15.99,4/2/2021,7/11/2023,Australia,35,Male,Smart TV,12,180,Comedy,8,60%,Weekly
247,Basic,8.99,8/9/2022,7/10/2023,UK,29,Female,Laptop,3,90,Drama,4,40%,Never
248,Premium,15.99,10/16/2020,7/12/2023,Canada,41,Male,Mobile,12,200,Fantasy,10,70%,Monthly
